"Reporting starts","Reporting ends","Campaign name","Campaign delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks",shop_clicks,"CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)","Landing page views","Cost per landing page view (USD)"
2026-01-01,2026-02-18,"Campaign #3 - DM Chat Conversions",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Campaign #4 - Phase 1 Ads (AIA)",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Campaign #5: Top 3 Test. - (Calendar page)",inactive,-,,,0,0,,25,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Campaign #6: Top 3 Test. - (New VSL Page)",inactive,-,,,0,0,,20,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Campaign #7: Retargeting IG Engagement (Calendar page)",inactive,-,,,0,0,,25,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Campaign #8: Retargeting IG Engagement (New VSL)",inactive,-,,,0,0,,25,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Campaign #9: Website Visitors (New VSL)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Campaign #10: Coaches/Consultants - (Calendar Page)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Campaign #11: Retargeting IG Engagement (New VSL) -",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Campaign #7: Retargeting IG Engagement (Calendar page)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Campaign #6: Top 3 Test. - (New VSL Page) - Copy",inactive,-,,,0,0,,25,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Campaign #12: Coaches/Consultants - (New VSL Page)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
2026-01-01,2026-02-18,"Campaign #13: Watched 50% of ANY Ad (New VSL)",inactive,-,,,0,0,,10,Daily,0,Ongoing,0,0,,,,,0,0,0,,
